occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill
11-3061,Purchasing Managers,490.0,1.37,155900.0,Purchasing Managers,0.2004,84320,156360.0,Management,98.196,76391000.0
25-1081,"Education Teachers, Postsecondary",370.0,1.42,76720.0,"Education Teachers, Postsecondary",0.2621,60830,79350.0,Education & Library,96.977,28386400.0
25-3021,Self-Enrichment Teachers,1440.0,1.02,52960.0,Self-Enrichment Teachers,0.0662,332110,54740.0,Education & Library,95.32799999999999,76262400.0
43-4111,"Interviewers, Except Eligibility and Loan",230.0,0.37,49870.0,"Interviewers, Except Eligibility and Loan",0.3851,148060,47240.0,Office & Administrative Support,88.573,11470100.0
11-2032,Public Relations Managers,380.0,1.2,171990.0,Public Relations Managers,0.2315,74850,164760.0,Management,87.97,65356200.0
43-4031,"Court, Municipal, and License Clerks",860.0,1.12,46500.0,"Court, Municipal, and License Clerks",0.102,179750,52320.0,Office & Administrative Support,87.72,39990000.0
25-1042,"Biological Science Teachers, Postsecondary",300.0,1.39,92030.0,"Biological Science Teachers, Postsecondary",0.2914,50190,102840.0,Education & Library,87.42,27609000.0
27-3042,Technical Writers,180.0,0.91,84420.0,Technical Writers,0.4747,45500,96970.0,"Arts, Design & Media",85.446,15195600.0
19-2031,Chemists,320.0,0.9,96510.0,Chemists,0.2614,82770,100450.0,"Life, Physical & Social Science",83.64800000000001,30883200.0
11-3131,Training and Development Managers,210.0,1.05,136600.0,Training and Development Managers,0.3777,48050,148370.0,Management,79.317,28686000.0
25-1194,"Career/Technical Education Teachers, Postsecondary",490.0,1.01,57030.0,"Career/Technical Education Teachers, Postsecondary",0.1563,114110,72060.0,Education & Library,76.587,27944700.0
25-1123,"English Language and Literature Teachers, Postsecondary",210.0,0.86,80690.0,"English Language and Literature Teachers, Postsecondary",0.3618,57720,89580.0,Education & Library,75.97800000000001,16944900.0
35-2014,"Cooks, Restaurant",6160.0,1.03,37100.0,"Cooks, Restaurant",0.0116,1409890,38730.0,Food Preparation & Serving,71.45599999999999,228536000.0
27-3041,Editors,290.0,0.74,76670.0,Editors,0.246,91690,90060.0,"Arts, Design & Media",71.34,22234300.0
13-1121,"Meeting, Convention, and Event Planners",690.0,1.14,58490.0,"Meeting, Convention, and Event Planners",0.1023,142860,66520.0,Business & Financial,70.587,40358100.0
17-2071,Electrical Engineers,1160.0,1.38,118040.0,Electrical Engineers,0.059,198750,125100.0,Architecture & Engineering,68.44,136926400.0
23-1023,"Judges, Magistrate Judges, and Magistrates",220.0,2.11,125220.0,"Judges, Magistrate Judges, and Magistrates",0.3109,24030,143830.0,Legal,68.398,27548400.0
11-9032,"Education Administrators, Kindergarten through Secondary",1230.0,0.88,107770.0,"Education Administrators, Kindergarten through Secondary",0.0525,328330,116100.0,Management,64.575,132557100.0
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",210.0,2.96,101970.0,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.3048,16370,125990.0,Legal,64.00800000000001,21413700.0
25-1072,"Nursing Instructors and Teachers, Postsecondary",330.0,0.99,85040.0,"Nursing Instructors and Teachers, Postsecondary",0.1909,77960,86410.0,Education & Library,62.99699999999999,28063200.0
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",570.0,1.03,59740.0,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.1083,130760,60960.0,Building & Grounds,61.730999999999995,34051800.0
27-3091,Interpreters and Translators,140.0,0.61,72950.0,Interpreters and Translators,0.4304,52060,66360.0,"Arts, Design & Media",60.256,10213000.0
11-3071,"Transportation, Storage, and Distribution Managers",630.0,0.67,129800.0,"Transportation, Storage, and Distribution Managers",0.0956,221180,121600.0,Management,60.228,81774000.0
13-2053,Insurance Underwriters,950.0,2.11,92670.0,Insurance Underwriters,0.0625,105420,93700.0,Business & Financial,59.375,88036500.0
11-3013,Facilities Managers,440.0,0.66,117540.0,Facilities Managers,0.1345,156180,116890.0,Management,59.18000000000001,51717600.0
39-6012,Concierges,310.0,1.46,35710.0,Concierges,0.1875,49240,42510.0,Personal Care & Service,58.125,11070100.0
43-2011,"Switchboard Operators, Including Answering Service",150.0,1.0,36770.0,"Switchboard Operators, Including Answering Service",0.3863,34280,42300.0,Office & Administrative Support,57.94499999999999,5515500.0
15-1255,Web and Digital Interface Designers,230.0,0.48,72860.0,Web and Digital Interface Designers,0.249,113330,117490.0,Computer & Mathematical,57.27,16757800.0
11-2022,Sales Managers,1320.0,0.49,182190.0,Sales Managers,0.0433,637080,164350.0,Management,57.156,240490800.0
27-3043,Writers and Authors,230.0,1.11,71390.0,Writers and Authors,0.2462,47940,86090.0,"Arts, Design & Media",56.626,16419700.0
47-4011,Construction and Building Inspectors,1140.0,1.83,75950.0,Construction and Building Inspectors,0.0481,146720,77730.0,Construction & Extraction,54.833999999999996,86583000.0
15-1221,Computer and Information Research Scientists,160.0,1.0,160770.0,Computer and Information Research Scientists,0.3404,37200,153930.0,Computer & Mathematical,54.464,25723200.0
19-4061,Social Science Research Assistants,120.0,0.95,58490.0,Social Science Research Assistants,0.4393,30640,66140.0,"Life, Physical & Social Science",52.716,7018800.0
27-4021,Photographers,270.0,1.23,53510.0,Photographers,0.195,51760,55410.0,"Arts, Design & Media",52.65,14447700.0
29-1229,"Physicians, All Other",1760.0,1.21,262540.0,"Physicians, All Other",0.0297,342720,262040.0,Healthcare Practitioners,52.272,462070400.0
25-2057,"Special Education Teachers, Middle School",390.0,0.98,63230.0,"Special Education Teachers, Middle School",0.134,95200,73780.0,Education & Library,52.260000000000005,24659700.0
17-2141,Mechanical Engineers,640.0,0.51,106960.0,Mechanical Engineers,0.0813,296810,113610.0,Architecture & Engineering,52.032,68454400.0
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2700.0,1.55,58490.0,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.0191,409670,64780.0,Installation & Repair,51.57,157923000.0
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",1660.0,1.28,,"Hairdressers, Hairstylists, and Cosmetologists",0.0304,305710,43960.0,Personal Care & Service,50.464,
41-3011,Advertising Sales Agents,330.0,0.86,95870.0,Advertising Sales Agents,0.1482,91700,80670.0,Sales,48.906,31637100.0
21-1022,Healthcare Social Workers,530.0,0.67,70980.0,Healthcare Social Workers,0.0916,187630,71790.0,Community & Social Service,48.548,37619400.0
25-1066,"Psychology Teachers, Postsecondary",150.0,0.85,87440.0,"Psychology Teachers, Postsecondary",0.3219,41530,93860.0,Education & Library,48.285000000000004,13116000.0
25-1032,"Engineering Teachers, Postsecondary",130.0,0.75,122550.0,"Engineering Teachers, Postsecondary",0.3589,40270,124520.0,Education & Library,46.657,15931500.0
43-3061,Procurement Clerks,190.0,0.82,56000.0,Procurement Clerks,0.2436,55810,52370.0,Office & Administrative Support,46.284,10640000.0
25-1021,"Computer Science Teachers, Postsecondary",190.0,1.23,110060.0,"Computer Science Teachers, Postsecondary",0.2414,35480,104420.0,Education & Library,45.866,20911400.0
13-1141,"Compensation, Benefits, and Job Analysis Specialists",700.0,1.47,88230.0,"Compensation, Benefits, and Job Analysis Specialists",0.0649,112380,84330.0,Business & Financial,45.43,61761000.0
49-9041,Industrial Machinery Mechanics,1900.0,1.02,69110.0,Industrial Machinery Mechanics,0.0239,439640,68460.0,Installation & Repair,45.410000000000004,131309000.0
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",1330.0,0.52,51650.0,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.0324,597370,53450.0,Production,43.092,68694500.0
19-2041,"Environmental Scientists and Specialists, Including Health",780.0,2.05,84450.0,"Environmental Scientists and Specialists, Including Health",0.0548,89250,91680.0,"Life, Physical & Social Science",42.744,65871000.0
