occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill,emp_23,emp_24,lq_23,chg,pct,family,replacement
29-1071,Physician Assistants,620.0,0.9,127600.0,Physician Assistants,0.0,162150,141280.0,Healthcare Practitioners,0.0,79112000.0,530.0,470.0,0.86,90.0,16.9811320754717,Healthcare Practitioners,215.9331486254042
17-2141,Mechanical Engineers,640.0,0.51,106960.0,Mechanical Engineers,0.0813,296810,113610.0,Architecture & Engineering,52.032,68454400.0,550.0,560.0,0.46,90.0,16.363636363636363,Architecture & Engineering,181.0047772490065
33-2011,Firefighters,2020.0,1.37,62440.0,Firefighters,0.0,345990,63630.0,Protective Service,0.0,126128800.0,1930.0,1960.0,1.43,90.0,4.66321243523316,Protective Service,105.66509247782318
29-1123,Physical Therapists,1300.0,1.14,103840.0,Physical Therapists,0.0174,267330,105280.0,Healthcare Practitioners,22.62,134992000.0,1220.0,1160.0,1.19,80.0,6.557377049180328,Healthcare Practitioners,175.7249071572255
13-1121,"Meeting, Convention, and Event Planners",690.0,1.14,58490.0,"Meeting, Convention, and Event Planners",0.1023,142860,66520.0,Business & Financial,70.587,40358100.0,610.0,640.0,1.18,80.0,13.114754098360656,Business & Financial,98.98064156034397
25-2012,"Kindergarten Teachers, Except Special Education",710.0,1.53,61570.0,"Kindergarten Teachers, Except Special Education",0.0,108870,69370.0,Education & Library,0.0,43714700.0,630.0,620.0,1.25,80.0,12.698412698412698,Education & Library,104.1928210099227
31-1131,Nursing Assistants,6660.0,1.08,41770.0,Nursing Assistants,0.0,1448910,42700.0,Healthcare Support,0.0,278188200.0,6580.0,6580.0,1.14,80.0,1.21580547112462,Healthcare Support,70.68595311977377
47-2141,"Painters, Construction and Maintenance",1010.0,1.05,47810.0,"Painters, Construction and Maintenance",0.0,225190,55420.0,Construction & Extraction,0.0,48288100.0,940.0,1070.0,1.02,70.0,7.446808510638298,Construction & Extraction,80.90724009232424
17-2112,Industrial Engineers,740.0,0.48,111430.0,Industrial Engineers,0.0367,365740,109900.0,Architecture & Engineering,27.158,82458200.0,670.0,830.0,0.47,70.0,10.447761194029852,Architecture & Engineering,188.5692065151159
21-1021,"Child, Family, and School Social Workers",1530.0,0.92,64830.0,"Child, Family, and School Social Workers",0.0074,392550,64000.0,Community & Social Service,11.322,99189900.0,1460.0,1420.0,0.97,70.0,4.794520547945205,Community & Social Service,109.70960834941187
53-3033,Light Truck Drivers,4790.0,1.15,44220.0,Light Truck Drivers,0.0,983300,48770.0,Transportation & Material Moving,0.0,211813800.0,4720.0,4500.0,1.1,70.0,1.4830508474576272,Transportation & Material Moving,74.83200495466593
35-2012,"Cooks, Institution and Cafeteria",1550.0,0.83,37980.0,"Cooks, Institution and Cafeteria",0.0,441050,38810.0,Food Preparation & Serving,0.0,58869000.0,1490.0,1510.0,0.8,60.0,4.026845637583893,Food Preparation & Serving,64.27226477110385
31-9097,Phlebotomists,640.0,1.04,46230.0,Phlebotomists,0.0,143540,45520.0,Healthcare Support,0.0,29587200.0,580.0,850.0,1.0,60.0,10.344827586206897,Healthcare Support,78.23345972533257
11-9033,"Education Administrators, Postsecondary",540.0,0.7,157420.0,"Education Administrators, Postsecondary",0.0644,180470,126540.0,Management,34.776,85006800.0,480.0,500.0,0.67,60.0,12.5,Management,266.39652238723454
31-9091,Dental Assistants,1610.0,0.98,47740.0,Dental Assistants,0.0,387790,50200.0,Healthcare Support,0.0,76861400.0,1550.0,1570.0,0.98,60.0,3.870967741935484,Healthcare Support,80.78878146847019
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,1400.0,1.14,61740.0,Bus and Truck Mechanics and Diesel Engine Specialists,0.0,289960,64320.0,Installation & Repair,0.0,86436000.0,1340.0,1380.0,1.1,60.0,4.477611940298507,Installation & Repair,104.48050623928256
43-6012,Legal Secretaries and Administrative Assistants,560.0,0.84,68480.0,Legal Secretaries and Administrative Assistants,0.0,156280,60620.0,Office & Administrative Support,0.0,38348800.0,510.0,720.0,0.78,50.0,9.803921568627452,Office & Administrative Support,115.88637945037365
49-3021,Automotive Body and Related Repairers,600.0,0.95,65560.0,Automotive Body and Related Repairers,0.0,149310,59690.0,Installation & Repair,0.0,39336000.0,550.0,620.0,0.84,50.0,9.090909090909092,Installation & Repair,110.94496256960421
51-1011,First-Line Supervisors of Production and Operating Workers,2210.0,0.77,77140.0,First-Line Supervisors of Production and Operating Workers,0.0,673430,76600.0,Production,0.0,170479400.0,2160.0,2140.0,0.75,50.0,2.314814814814815,Production,130.54140348717618
43-3051,Payroll and Timekeeping Clerks,630.0,0.97,58960.0,Payroll and Timekeeping Clerks,0.0487,153140,59630.0,Office & Administrative Support,30.681,37144800.0,580.0,560.0,0.86,50.0,8.620689655172415,Office & Administrative Support,99.77600660622124
11-9021,Construction Managers,1270.0,0.79,126100.0,Construction Managers,0.1186,380360,124360.0,Management,150.622,160147000.0,1220.0,1230.0,0.87,50.0,4.098360655737705,Management,213.39474954281715
49-3093,Tire Repairers and Changers,650.0,1.42,38360.0,Tire Repairers and Changers,0.0,108410,40170.0,Installation & Repair,0.0,24934000.0,600.0,590.0,1.37,50.0,8.333333333333334,Installation & Repair,64.9153258720259
35-3031,Waiters and Waitresses,9120.0,0.95,45010.0,Waiters and Waitresses,0.0,2270910,40060.0,Food Preparation & Serving,0.0,410491200.0,9070.0,9260.0,0.95,50.0,0.5512679162072768,Food Preparation & Serving,76.16889513816177
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,500.0,1.18,101930.0,First-Line Supervisors of Firefighting and Prevention Workers,0.0,99140,96930.0,Protective Service,0.0,50965000.0,460.0,480.0,1.29,40.0,8.695652173913043,Protective Service,172.49267899206464
53-3053,Shuttle Drivers and Chauffeurs,1650.0,1.57,40110.0,Shuttle Drivers and Chauffeurs,0.0,248530,39880.0,Transportation & Material Moving,0.0,66181500.0,1610.0,1360.0,1.84,40.0,2.484472049689441,Transportation & Material Moving,67.87679146837745
11-9032,"Education Administrators, Kindergarten through Secondary",1230.0,0.88,107770.0,"Education Administrators, Kindergarten through Secondary",0.0525,328330,116100.0,Management,64.575,132557100.0,1190.0,1160.0,0.92,40.0,3.361344537815126,Management,182.37551275360352
11-2022,Sales Managers,1320.0,0.49,182190.0,Sales Managers,0.0433,637080,164350.0,Management,57.156,240490800.0,1290.0,1520.0,0.52,30.0,2.3255813953488373,Management,308.31395257102184
13-2081,"Tax Examiners and Collectors, and Revenue Agents",570.0,2.38,62560.0,"Tax Examiners and Collectors, and Revenue Agents",0.0275,56610,70520.0,Business & Financial,15.675,35659200.0,540.0,580.0,2.51,30.0,5.555555555555555,Business & Financial,105.86816440443015
51-9198,Helpers--Production Workers,530.0,0.75,40330.0,Helpers--Production Workers,0.0393,165700,41120.0,Production,20.829,21374900.0,500.0,530.0,0.64,30.0,6.0,Production,68.24909000049021
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,820.0,1.53,38850.0,Veterinary Assistants and Laboratory Animal Caretakers,0.0179,126580,40340.0,Healthcare Support,14.678,31857000.0,790.0,830.0,1.61,30.0,3.7974683544303796,Healthcare Support,65.74453623900433
13-1131,Fundraisers,620.0,1.31,75760.0,Fundraisers,0.0466,111040,77200.0,Business & Financial,28.892000000000003,46971200.0,600.0,620.0,1.39,20.0,3.3333333333333335,Business & Financial,128.2060763311961
39-3091,Amusement and Recreation Attendants,1700.0,1.01,31960.0,Amusement and Recreation Attendants,0.0619,397830,32640.0,Personal Care & Service,105.23,54332000.0,1680.0,1730.0,1.09,20.0,1.1904761904761905,Personal Care & Service,54.08482311965453
21-1022,Healthcare Social Workers,530.0,0.67,70980.0,Healthcare Social Workers,0.0916,187630,71790.0,Community & Social Service,48.548,37619400.0,510.0,470.0,0.65,20.0,3.9215686274509802,Community & Social Service,120.11704458801873
29-1292,Dental Hygienists,780.0,0.83,105660.0,Dental Hygienists,0.0,222740,98990.0,Healthcare Practitioners,0.0,82414800.0,760.0,550.0,0.84,20.0,2.6315789473684212,Healthcare Practitioners,178.8048313774311
49-2098,Security and Fire Alarm Systems Installers,500.0,1.37,59640.0,Security and Fire Alarm Systems Installers,0.0303,86340,60960.0,Installation & Repair,15.15,29820000.0,480.0,470.0,1.36,20.0,4.166666666666667,Installation & Repair,100.92674752366071
35-2021,Food Preparation Workers,2890.0,0.76,34120.0,Food Preparation Workers,0.0,893600,35290.0,Food Preparation & Serving,0.0,98606800.0,2880.0,2250.0,0.77,10.0,0.3472222222222222,Food Preparation & Serving,57.74011779857987
11-9041,Architectural and Engineering Managers,570.0,0.61,174740.0,Architectural and Engineering Managers,0.0306,220260,181540.0,Management,17.442,99601800.0,560.0,540.0,0.63,10.0,1.7857142857142858,Management,295.70657046083954
