occ_code,bls_title,emp_23,lq_23,observed_exposure,emp_24,lq_24,emp_25,lq_25,pct,g
21-1093,Social and Human Service Assistants,2080.0,1.19,0.0,1600.0,0.89,2050.0,1.1,-1.4423076923076923,21
21-2011,Clergy,260.0,1.06,0.1116,310.0,1.27,260.0,1.07,0.0,21
21-2021,"Directors, Religious Activities and Education",100.0,1.03,0.153,80.0,0.91,30.0,0.36,-70.0,21
23-1011,Lawyers,3340.0,1.07,0.1673,3710.0,1.17,3780.0,1.18,13.173652694610778,23
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",210.0,3.39,0.3048,210.0,3.06,210.0,2.96,0.0,23
23-1022,"Arbitrators, Mediators, and Conciliators",40.0,1.35,0.2426,60.0,1.66,40.0,1.13,0.0,23
23-2011,Paralegals and Legal Assistants,2330.0,1.54,0.2927,1930.0,1.24,1930.0,1.15,-17.167381974248926,23
23-2093,"Title Examiners, Abstractors, and Searchers",240.0,1.14,0.0216,250.0,1.22,180.0,0.89,-25.0,23
25-1011,"Business Teachers, Postsecondary",410.0,1.15,0.3072,420.0,1.22,400.0,1.16,-2.4390243902439024,25
25-1021,"Computer Science Teachers, Postsecondary",130.0,0.87,0.2414,220.0,1.43,190.0,1.23,46.15384615384615,25
25-1022,"Mathematical Science Teachers, Postsecondary",210.0,1.04,0.4305,210.0,1.03,230.0,1.11,9.523809523809524,25
25-1032,"Engineering Teachers, Postsecondary",120.0,0.72,0.3589,120.0,0.71,130.0,0.75,8.333333333333334,25
25-1042,"Biological Science Teachers, Postsecondary",310.0,1.4,0.2914,300.0,1.34,300.0,1.39,-3.225806451612903,25
25-1052,"Chemistry Teachers, Postsecondary",120.0,1.35,0.2185,120.0,1.42,130.0,1.58,8.333333333333334,25
25-1054,"Physics Teachers, Postsecondary",60.0,0.92,0.0,50.0,0.92,50.0,0.95,-16.666666666666668,25
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",90.0,1.89,0.0,90.0,1.86,90.0,1.84,0.0,25
25-1063,"Economics Teachers, Postsecondary",40.0,0.86,0.0,60.0,1.12,60.0,1.28,50.0,25
25-1065,"Political Science Teachers, Postsecondary",130.0,1.79,0.0,140.0,1.91,160.0,2.17,23.076923076923077,25
25-1066,"Psychology Teachers, Postsecondary",160.0,0.91,0.3219,150.0,0.84,150.0,0.85,-6.25,25
25-1067,"Sociology Teachers, Postsecondary",50.0,0.93,0.0,50.0,0.91,50.0,0.94,0.0,25
25-1071,"Health Specialties Teachers, Postsecondary",1480.0,1.54,0.3045,1460.0,1.51,1430.0,1.53,-3.3783783783783785,25
25-1072,"Nursing Instructors and Teachers, Postsecondary",320.0,1.04,0.1909,350.0,1.1,330.0,0.99,3.125,25
25-1081,"Education Teachers, Postsecondary",360.0,1.4,0.2621,340.0,1.35,370.0,1.42,2.7777777777777777,25
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",40.0,0.69,0.0,50.0,0.92,50.0,0.82,25.0,25
25-1113,"Social Work Teachers, Postsecondary",170.0,3.36,0.0,170.0,2.97,170.0,3.23,0.0,25
25-1121,"Art, Drama, and Music Teachers, Postsecondary",570.0,1.33,0.2142,580.0,1.39,610.0,1.52,7.017543859649122,25
25-1122,"Communications Teachers, Postsecondary",120.0,1.02,0.2111,130.0,1.04,130.0,1.07,8.333333333333334,25
25-1123,"English Language and Literature Teachers, Postsecondary",180.0,0.75,0.3618,200.0,0.78,210.0,0.86,16.666666666666668,25
25-1124,"Foreign Language and Literature Teachers, Postsecondary",70.0,0.8,0.2403,70.0,0.8,80.0,0.9,14.285714285714286,25
25-1125,"History Teachers, Postsecondary",80.0,0.91,0.0994,90.0,1.03,90.0,1.09,12.5,25
25-1126,"Philosophy and Religion Teachers, Postsecondary",60.0,0.71,0.2197,60.0,0.69,70.0,0.78,16.666666666666668,25
25-1194,"Career/Technical Education Teachers, Postsecondary",500.0,1.05,0.1563,550.0,1.18,490.0,1.01,-2.0,25
